epoch,accuracy,loss,val_accuracy,val_loss
0,0.9405233263969421,0.34534546732902527,0.9444675445556641,0.19687898457050323
1,0.9492018222808838,0.11872079223394394,0.9491788744926453,0.11325876414775848
2,0.9533219337463379,0.10986943542957306,0.957735002040863,0.10622081160545349
3,0.9591471552848816,0.098875492811203,0.9586196541786194,0.10183708369731903
4,0.9587745666503906,0.09936118870973587,0.9594501256942749,0.10046962648630142
5,0.9594741463661194,0.0986180230975151,0.9598366618156433,0.0999361127614975
6,0.9615509510040283,0.09451206773519516,0.9624372720718384,0.098664291203022
7,0.9634416699409485,0.0884695053100586,0.9622189402580261,0.09597934037446976
8,0.9657039642333984,0.08505210280418396,0.9635217189788818,0.09358909726142883
9,0.9660394787788391,0.08498506247997284,0.9682213664054871,0.08164158463478088
10,0.9663044214248657,0.08374194800853729,0.9636919498443604,0.09057848155498505
11,0.9684209227561951,0.07826241105794907,0.9708237051963806,0.073952816426754
12,0.9696052074432373,0.07484029233455658,0.9717554450035095,0.07398393750190735
13,0.9692011475563049,0.07544183731079102,0.9702439308166504,0.07243760675191879
14,0.9686678051948547,0.07692001014947891,0.971386194229126,0.0706438273191452
15,0.972890317440033,0.067592553794384,0.9723778963088989,0.06717875599861145
16,0.9705924391746521,0.07121250033378601,0.9728908538818359,0.06660199910402298
17,0.9729633927345276,0.0662088394165039,0.9745627641677856,0.06288972496986389
18,0.9723479747772217,0.06802640110254288,0.9752073287963867,0.06124964728951454
19,0.9763978719711304,0.05840878188610077,0.9756938815116882,0.0599185936152935
20,0.9741237759590149,0.06427721679210663,0.9760831594467163,0.05894967168569565
21,0.9754533171653748,0.061207592487335205,0.9765121936798096,0.05797895789146423
22,0.974783182144165,0.061407241970300674,0.9742167592048645,0.0623062364757061
23,0.9773964285850525,0.056078873574733734,0.9743537306785583,0.06081552430987358
24,0.9765315651893616,0.05826377868652344,0.9769644737243652,0.05747300758957863
25,0.9788530468940735,0.05238255858421326,0.9786022901535034,0.05291707441210747
26,0.9783405661582947,0.05363557115197182,0.9786007404327393,0.0528172105550766
27,0.9790163040161133,0.051718249917030334,0.9792795181274414,0.05065453425049782
28,0.9799470901489258,0.04951037839055061,0.9794024229049683,0.05184243246912956
29,0.9797704815864563,0.0500311404466629,0.9794787764549255,0.05056598037481308
30,0.9784275889396667,0.05325525254011154,0.9805745482444763,0.04863566905260086
31,0.9814203381538391,0.04608654975891113,0.9800700545310974,0.04872451722621918
32,0.9824918508529663,0.04331883788108826,0.9809287190437317,0.04718160256743431
33,0.9817647337913513,0.04515031352639198,0.9812368154525757,0.0468435063958168
34,0.9824596643447876,0.043670665472745895,0.9822840094566345,0.04523259773850441
35,0.9841656684875488,0.03953147679567337,0.9817923903465271,0.04611953720450401
36,0.984835147857666,0.03806828707456589,0.9820577502250671,0.044830746948719025
37,0.9856072664260864,0.0360281802713871,0.9829545021057129,0.04227447882294655
38,0.9855602383613586,0.03620734438300133,0.9835538268089294,0.04208638519048691
39,0.9857598543167114,0.03582483530044556,0.9839916229248047,0.03982941433787346
40,0.9870166778564453,0.03257164731621742,0.9842184782028198,0.04067803546786308
41,0.9873171448707581,0.031808797270059586,0.9843394160270691,0.03950347751379013
42,0.9873505234718323,0.03163808211684227,0.9844050407409668,0.03924143686890602
43,0.9883517026901245,0.029096702113747597,0.9844740033149719,0.039907559752464294
44,0.9881829619407654,0.02963714301586151,0.9855743646621704,0.03699338436126709
45,0.9890140891075134,0.027414655312895775,0.9849827885627747,0.04002921283245087
46,0.9894422292709351,0.02639710158109665,0.9854738116264343,0.03794725239276886
47,0.9897323250770569,0.025576243177056313,0.9856216907501221,0.03677748516201973
48,0.9897650480270386,0.025508563965559006,0.9852012991905212,0.03873337805271149
49,0.9904718995094299,0.023810772225260735,0.9863632917404175,0.03546636179089546
