epoch,accuracy,loss,val_accuracy,val_loss
0,0.9923412203788757,0.019817834720015526,0.989586591720581,0.013957447372376919
1,0.9922980070114136,0.0076309735886752605,0.989586591720581,0.015572543255984783
2,0.9922970533370972,0.00726994639262557,0.989586591720581,0.013298715464770794
3,0.9922314882278442,0.006896865088492632,0.9895743131637573,0.01282329112291336
4,0.9923311471939087,0.006414079573005438,0.9895131587982178,0.012336678802967072
5,0.9922869801521301,0.006110652815550566,0.9894657731056213,0.01290041208267212
6,0.9923601150512695,0.005802811123430729,0.9893260598182678,0.012907885946333408
7,0.992159366607666,0.005722697824239731,0.9894070029258728,0.013336181640625
8,0.9922866821289062,0.005519302096217871,0.9894200563430786,0.012677534483373165
9,0.9922734498977661,0.005400955677032471,0.9894084930419922,0.013310649432241917
10,0.9922875165939331,0.0052966405637562275,0.9894651770591736,0.013935176655650139
11,0.9922801852226257,0.005216647405177355,0.9894169569015503,0.013351867906749249
12,0.9922751188278198,0.005177693907171488,0.9895089268684387,0.015320772305130959
13,0.992303192615509,0.005079975817352533,0.9894665479660034,0.014180513098835945
14,0.9922942519187927,0.00501749524846673,0.9894512891769409,0.013702129945158958
15,0.9922510981559753,0.005037689581513405,0.9894654154777527,0.013496004045009613
16,0.9922990202903748,0.004944954067468643,0.9894964694976807,0.01418393850326538
17,0.9923301339149475,0.004883907735347748,0.9894627928733826,0.012874073348939419
18,0.9922839999198914,0.004888824187219143,0.9894999861717224,0.014405548572540283
19,0.9922229051589966,0.004887652583420277,0.9895074963569641,0.013912029564380646
20,0.9923313856124878,0.004772121552377939,0.9894736409187317,0.014592946507036686
21,0.9922690391540527,0.004804543219506741,0.9894739389419556,0.014401785098016262
22,0.992266058921814,0.004779438022524118,0.9894336462020874,0.013561100699007511
23,0.9923179149627686,0.004723991267383099,0.9894984364509583,0.014590534381568432
24,0.992337167263031,0.004697213415056467,0.9894803166389465,0.015037089586257935
25,0.9922180771827698,0.004725030157715082,0.9894742965698242,0.014192492701113224
26,0.9922628998756409,0.0046980478800833225,0.989480197429657,0.01419280469417572
27,0.9923226237297058,0.004645825829356909,0.9894512295722961,0.013496709056198597
28,0.9922824501991272,0.004663434810936451,0.9894503951072693,0.01462853979319334
29,0.9922463893890381,0.004651379771530628,0.9894917607307434,0.015382329002022743
